Date,Open,High,Low,Close,Adj Close,Volume
2018-08-22,135.559998,135.679993,134.419998,134.610001,119.575203,4688400
2018-08-23,134.610001,135.490005,134.100006,135.110001,120.019394,5057600
2018-08-24,135.110001,136.149994,134.830002,135.949997,120.765579,4809400
2018-08-27,135.500000,136.050003,134.210007,134.919998,120.649330,4325900
2018-08-28,134.779999,134.899994,133.889999,134.320007,120.112778,6037500
2018-08-29,134.320007,134.940002,133.940002,134.860001,120.595680,4648700
2018-08-30,134.699997,135.600006,134.600006,134.949997,120.676140,4821900
2018-08-31,134.600006,135.000000,133.970001,134.690002,120.443642,6139500
2018-09-04,134.690002,134.750000,133.440002,133.720001,119.576256,4406800
2018-09-05,133.479996,135.940002,133.460007,135.860001,121.489883,6174800
2018-09-06,135.500000,137.309998,135.179993,136.869995,122.393082,6562000
2018-09-07,136.779999,137.690002,135.750000,137.320007,122.795471,6375200
2018-09-10,137.529999,138.470001,137.059998,137.210007,122.697121,4892200
2018-09-11,137.639999,138.910004,137.220001,138.509995,123.859589,7856800
2018-09-12,138.899994,139.990005,138.559998,139.360001,124.619690,6767700
2018-09-13,139.889999,140.479996,139.020004,139.889999,125.093628,6456100
2018-09-14,140.000000,140.350006,139.100006,139.490005,124.735962,4534800
2018-09-17,139.330002,140.399994,139.179993,139.960007,125.156235,5295500
2018-09-18,140.270004,140.839996,139.830002,140.539993,125.674896,4581200
2018-09-19,140.759995,140.990005,140.050003,140.460007,125.603363,5049900
2018-09-20,140.820007,142.139999,140.509995,141.979996,126.962578,5019300
2018-09-21,142.179993,143.130005,141.690002,142.880005,127.767387,13283400
2018-09-24,142.100006,142.500000,140.229996,140.470001,125.612305,6708000
2018-09-25,140.529999,140.960007,138.399994,138.639999,123.975838,7982800
2018-09-26,138.949997,140.000000,137.960007,138.160004,123.546631,7133300
2018-09-27,138.449997,139.580002,137.570007,138.220001,123.600250,6450500
2018-09-28,138.100006,138.559998,137.410004,138.169998,123.555565,6638500
2018-10-01,138.259995,139.850006,138.000000,139.690002,124.914772,4871800
2018-10-02,139.789993,140.729996,139.649994,140.479996,125.621239,6439100
2018-10-03,140.539993,141.270004,138.880005,139.029999,124.324608,5411800
2018-10-04,138.550003,139.529999,137.320007,139.350006,124.610748,4738700
2018-10-05,139.800003,140.250000,138.559998,139.100006,124.387199,4309300
2018-10-08,138.899994,139.679993,138.619995,139.389999,124.646538,5174100
2018-10-09,138.740005,139.619995,137.809998,139.199997,124.476616,4475300
2018-10-10,139.350006,140.460007,137.729996,137.729996,123.162102,7265600
2018-10-11,137.910004,138.660004,132.880005,133.839996,119.683548,11603200
2018-10-12,134.399994,134.410004,132.229996,133.869995,119.710373,6998000
2018-10-15,133.880005,135.300003,133.509995,133.949997,119.781944,6398700
2018-10-16,134.750000,137.990005,134.750000,136.559998,122.115845,9592800
2018-10-17,136.229996,140.000000,136.210007,139.460007,124.709122,8261100
2018-10-18,139.199997,139.809998,137.710007,139.500000,124.744865,7583900
2018-10-19,138.339996,140.000000,137.910004,139.050003,124.342484,5924800
2018-10-22,138.610001,139.259995,138.139999,138.679993,124.011635,4864300
2018-10-23,137.789993,139.490005,137.449997,138.929993,124.235168,8282700
2018-10-24,138.520004,140.110001,137.169998,137.470001,122.929596,8279200
2018-10-25,137.460007,139.089996,135.050003,138.470001,123.823822,9720700
2018-10-26,137.940002,139.300003,135.330002,136.970001,122.482468,11371400
2018-10-29,136.990005,139.100006,136.220001,137.550003,123.001167,6783000
2018-10-30,137.929993,141.100006,137.000000,140.750000,125.862679,9646200
2018-10-31,141.000000,141.429993,139.610001,139.990005,125.183044,9968900
2018-11-01,140.070007,141.580002,139.850006,140.820007,125.925270,6913500
2018-11-02,141.970001,142.000000,139.660004,140.679993,125.800072,7673200
2018-11-05,141.000000,142.740005,139.000000,142.199997,127.159294,5601400
2018-11-06,141.529999,142.830002,141.059998,142.570007,127.490173,5798900
2018-11-07,143.100006,144.869995,142.970001,144.750000,129.439575,7173600
2018-11-08,144.309998,145.789993,144.000000,145.300003,129.931381,5497100
2018-11-09,145.039993,145.740005,144.380005,145.339996,129.967194,5343100
2018-11-12,144.990005,146.240005,144.729996,145.619995,130.217560,7013600
2018-11-13,146.190002,146.750000,143.419998,144.679993,129.376968,7432300
2018-11-14,145.020004,145.309998,143.559998,144.250000,128.992477,6433100
2018-11-15,143.410004,144.509995,142.479996,144.500000,129.216019,6657900
2018-11-16,144.710007,146.740005,144.550003,145.990005,130.548431,8494300
2018-11-19,146.429993,148.440002,146.369995,147.729996,132.104385,8714600
2018-11-20,147.500000,148.750000,146.350006,146.449997,130.959763,8937700
2018-11-21,146.229996,146.229996,140.779999,141.990005,126.971535,10275400
2018-11-23,141.850006,142.729996,141.600006,142.229996,127.186157,3404900
2018-11-26,142.000000,142.050003,140.720001,141.369995,127.222122,7590900
2018-11-27,140.570007,143.350006,139.660004,143.220001,128.886993,5962100
2018-11-28,143.830002,146.559998,143.360001,146.440002,131.784760,8411400
2018-11-29,145.619995,147.199997,144.839996,145.850006,131.253815,6900000
2018-11-30,145.339996,147.000000,145.100006,146.899994,132.198685,12517600
2018-12-03,145.570007,146.630005,144.940002,146.210007,131.577759,8827200
2018-12-04,146.320007,148.990005,145.820007,146.029999,131.415771,9803500
2018-12-06,144.500000,146.449997,142.789993,145.910004,131.307785,11572500
2018-12-07,145.490005,147.339996,144.119995,145.429993,130.875778,9444500
2018-12-10,145.389999,145.880005,142.380005,145.259995,130.722778,6848100
2018-12-11,146.289993,148.210007,145.789993,146.500000,131.838745,9857400
2018-12-12,147.000000,148.490005,147.000000,147.100006,132.378708,8869200
2018-12-13,146.960007,148.589996,146.800003,147.839996,133.044647,6008300
2018-12-14,144.339996,145.380005,130.199997,133.000000,119.689774,58140200
2018-12-17,128.320007,131.649994,126.830002,129.139999,116.216072,36933100
2018-12-18,132.050003,132.800003,129.199997,130.419998,117.367973,24640100
2018-12-19,129.869995,131.350006,127.089996,127.610001,114.839180,21232100
2018-12-20,127.720001,129.750000,126.760002,128.270004,115.433159,16609600
2018-12-21,127.800003,130.600006,127.120003,128.089996,115.271156,19732900
2018-12-24,127.300003,128.000000,121.000000,122.839996,110.546547,7531900
2018-12-26,123.419998,126.760002,122.010002,126.709999,114.029266,9253000
2018-12-27,125.870003,127.410004,123.070000,127.410004,114.659195,9918700
2018-12-28,127.910004,128.750000,126.750000,127.269997,114.533218,6537200
2018-12-31,128.179993,129.550003,127.419998,129.050003,116.135078,7409900
2019-01-02,128.130005,128.380005,126.279999,127.750000,114.965179,7631700
