Date,CPI
2012-04-17,229.187
2012-04-18,229.187
2012-04-19,229.187
2012-04-20,229.187
2012-04-21,229.187
2012-04-22,229.187
2012-04-23,229.187
2012-04-24,229.187
2012-04-25,229.187
2012-04-26,229.187
2012-04-27,229.187
2012-04-28,229.187
2012-04-29,229.187
2012-04-30,229.187
2012-05-01,228.713
2012-05-02,228.713
2012-05-03,228.713
2012-05-04,228.713
2012-05-05,228.713
2012-05-06,228.713
2012-05-07,228.713
2012-05-08,228.713
2012-05-09,228.713
2012-05-10,228.713
2012-05-11,228.713
2012-05-12,228.713
2012-05-13,228.713
2012-05-14,228.713
2012-05-15,228.713
2012-05-16,228.713
2012-05-17,228.713
2012-05-18,228.713
2012-05-19,228.713
2012-05-20,228.713
2012-05-21,228.713
2012-05-22,228.713
2012-05-23,228.713
2012-05-24,228.713
2012-05-25,228.713
2012-05-26,228.713
2012-05-27,228.713
2012-05-28,228.713
2012-05-29,228.713
2012-05-30,228.713
2012-05-31,228.713
2012-06-01,228.524
2012-06-02,228.524
2012-06-03,228.524
2012-06-04,228.524
2012-06-05,228.524
2012-06-06,228.524
2012-06-07,228.524
2012-06-08,228.524
2012-06-09,228.524
2012-06-10,228.524
2012-06-11,228.524
2012-06-12,228.524
2012-06-13,228.524
2012-06-14,228.524
2012-06-15,228.524
2012-06-16,228.524
2012-06-17,228.524
2012-06-18,228.524
2012-06-19,228.524
2012-06-20,228.524
2012-06-21,228.524
2012-06-22,228.524
2012-06-23,228.524
2012-06-24,228.524
2012-06-25,228.524
2012-06-26,228.524
2012-06-27,228.524
2012-06-28,228.524
2012-06-29,228.524
2012-06-30,228.524
2012-07-01,228.59
2012-07-02,228.59
2012-07-03,228.59
2012-07-04,228.59
2012-07-05,228.59
2012-07-06,228.59
2012-07-07,228.59
2012-07-08,228.59
2012-07-09,228.59
2012-07-10,228.59
2012-07-11,228.59
2012-07-12,228.59
2012-07-13,228.59
2012-07-14,228.59
2012-07-15,228.59
2012-07-16,228.59
2012-07-17,228.59
2012-07-18,228.59
2012-07-19,228.59
2012-07-20,228.59
2012-07-21,228.59
2012-07-22,228.59
2012-07-23,228.59
2012-07-24,228.59
2012-07-25,228.59
2012-07-26,228.59
2012-07-27,228.59
2012-07-28,228.59
2012-07-29,228.59
2012-07-30,228.59
2012-07-31,228.59
2012-08-01,229.918
2012-08-02,229.918
2012-08-03,229.918
2012-08-04,229.918
2012-08-05,229.918
2012-08-06,229.918
2012-08-07,229.918
2012-08-08,229.918
2012-08-09,229.918
2012-08-10,229.918
2012-08-11,229.918
2012-08-12,229.918
2012-08-13,229.918
2012-08-14,229.918
2012-08-15,229.918
2012-08-16,229.918
2012-08-17,229.918
2012-08-18,229.918
2012-08-19,229.918
2012-08-20,229.918
2012-08-21,229.918
2012-08-22,229.918
2012-08-23,229.918
2012-08-24,229.918
2012-08-25,229.918
2012-08-26,229.918
2012-08-27,229.918
2012-08-28,229.918
2012-08-29,229.918
2012-08-30,229.918
2012-08-31,229.918
2012-09-01,231.015
2012-09-02,231.015
2012-09-03,231.015
2012-09-04,231.015
2012-09-05,231.015
2012-09-06,231.015
2012-09-07,231.015
2012-09-08,231.015
2012-09-09,231.015
2012-09-10,231.015
2012-09-11,231.015
2012-09-12,231.015
2012-09-13,231.015
2012-09-14,231.015
2012-09-15,231.015
2012-09-16,231.015
2012-09-17,231.015
2012-09-18,231.015
2012-09-19,231.015
2012-09-20,231.015
2012-09-21,231.015
2012-09-22,231.015
2012-09-23,231.015
2012-09-24,231.015
2012-09-25,231.015
2012-09-26,231.015
2012-09-27,231.015
2012-09-28,231.015
2012-09-29,231.015
2012-09-30,231.015
2012-10-01,231.638
2012-10-02,231.638
2012-10-03,231.638
2012-10-04,231.638
2012-10-05,231.638
2012-10-06,231.638
2012-10-07,231.638
2012-10-08,231.638
2012-10-09,231.638
2012-10-10,231.638
2012-10-11,231.638
2012-10-12,231.638
2012-10-13,231.638
2012-10-14,231.638
2012-10-15,231.638
2012-10-16,231.638
2012-10-17,231.638
2012-10-18,231.638
2012-10-19,231.638
2012-10-20,231.638
2012-10-21,231.638
2012-10-22,231.638
2012-10-23,231.638
2012-10-24,231.638
2012-10-25,231.638
2012-10-26,231.638
2012-10-27,231.638
2012-10-28,231.638
2012-10-29,231.638
2012-10-30,231.638
2012-10-31,231.638
2012-11-01,231.249
2012-11-02,231.249
2012-11-03,231.249
2012-11-04,231.249
2012-11-05,231.249
2012-11-06,231.249
2012-11-07,231.249
2012-11-08,231.249
2012-11-09,231.249
2012-11-10,231.249
2012-11-11,231.249
2012-11-12,231.249
2012-11-13,231.249
2012-11-14,231.249
2012-11-15,231.249
2012-11-16,231.249
2012-11-17,231.249
2012-11-18,231.249
2012-11-19,231.249
2012-11-20,231.249
2012-11-21,231.249
2012-11-22,231.249
2012-11-23,231.249
2012-11-24,231.249
2012-11-25,231.249
2012-11-26,231.249
2012-11-27,231.249
2012-11-28,231.249
2012-11-29,231.249
2012-11-30,231.249
2012-12-01,231.221
2012-12-02,231.221
2012-12-03,231.221
2012-12-04,231.221
2012-12-05,231.221
2012-12-06,231.221
2012-12-07,231.221
2012-12-08,231.221
2012-12-09,231.221
2012-12-10,231.221
2012-12-11,231.221
2012-12-12,231.221
2012-12-13,231.221
2012-12-14,231.221
2012-12-15,231.221
2012-12-16,231.221
2012-12-17,231.221
2012-12-18,231.221
2012-12-19,231.221
2012-12-20,231.221
2012-12-21,231.221
2012-12-22,231.221
2012-12-23,231.221
2012-12-24,231.221
2012-12-25,231.221
2012-12-26,231.221
2012-12-27,231.221
2012-12-28,231.221
2012-12-29,231.221
2012-12-30,231.221
2012-12-31,231.221
2013-01-01,231.679
2013-01-02,231.679
2013-01-03,231.679
2013-01-04,231.679
2013-01-05,231.679
2013-01-06,231.679
2013-01-07,231.679
2013-01-08,231.679
2013-01-09,231.679
2013-01-10,231.679
2013-01-11,231.679
2013-01-12,231.679
2013-01-13,231.679
2013-01-14,231.679
2013-01-15,231.679
2013-01-16,231.679
2013-01-17,231.679
2013-01-18,231.679
2013-01-19,231.679
2013-01-20,231.679
2013-01-21,231.679
2013-01-22,231.679
2013-01-23,231.679
2013-01-24,231.679
2013-01-25,231.679
2013-01-26,231.679
2013-01-27,231.679
2013-01-28,231.679
2013-01-29,231.679
2013-01-30,231.679
2013-01-31,231.679
2013-02-01,232.937
2013-02-02,232.937
2013-02-03,232.937
2013-02-04,232.937
2013-02-05,232.937
2013-02-06,232.937
2013-02-07,232.937
2013-02-08,232.937
2013-02-09,232.937
2013-02-10,232.937
2013-02-11,232.937
2013-02-12,232.937
2013-02-13,232.937
2013-02-14,232.937
2013-02-15,232.937
2013-02-16,232.937
2013-02-17,232.937
2013-02-18,232.937
2013-02-19,232.937
2013-02-20,232.937
2013-02-21,232.937
2013-02-22,232.937
2013-02-23,232.937
2013-02-24,232.937
2013-02-25,232.937
2013-02-26,232.937
2013-02-27,232.937
2013-02-28,232.937
2013-03-01,232.282
2013-03-02,232.282
2013-03-03,232.282
2013-03-04,232.282
2013-03-05,232.282
2013-03-06,232.282
2013-03-07,232.282
2013-03-08,232.282
2013-03-09,232.282
2013-03-10,232.282
2013-03-11,232.282
2013-03-12,232.282
2013-03-13,232.282
2013-03-14,232.282
2013-03-15,232.282
2013-03-16,232.282
2013-03-17,232.282
2013-03-18,232.282
2013-03-19,232.282
2013-03-20,232.282
2013-03-21,232.282
2013-03-22,232.282
2013-03-23,232.282
2013-03-24,232.282
2013-03-25,232.282
2013-03-26,232.282
2013-03-27,232.282
2013-03-28,232.282
2013-03-29,232.282
2013-03-30,232.282
2013-03-31,232.282
2013-04-01,231.797
2013-04-02,231.797
2013-04-03,231.797
2013-04-04,231.797
2013-04-05,231.797
2013-04-06,231.797
2013-04-07,231.797
2013-04-08,231.797
2013-04-09,231.797
2013-04-10,231.797
2013-04-11,231.797
2013-04-12,231.797
2013-04-13,231.797
2013-04-14,231.797
2013-04-15,231.797
2013-04-16,231.797
2013-04-17,231.797
2013-04-18,231.797
2013-04-19,231.797
2013-04-20,231.797
2013-04-21,231.797
2013-04-22,231.797
2013-04-23,231.797
2013-04-24,231.797
2013-04-25,231.797
2013-04-26,231.797
2013-04-27,231.797
2013-04-28,231.797
2013-04-29,231.797
2013-04-30,231.797
2013-05-01,231.893
2013-05-02,231.893
2013-05-03,231.893
2013-05-04,231.893
2013-05-05,231.893
2013-05-06,231.893
2013-05-07,231.893
2013-05-08,231.893
2013-05-09,231.893
2013-05-10,231.893
2013-05-11,231.893
2013-05-12,231.893
2013-05-13,231.893
2013-05-14,231.893
2013-05-15,231.893
2013-05-16,231.893
2013-05-17,231.893
2013-05-18,231.893
2013-05-19,231.893
2013-05-20,231.893
2013-05-21,231.893
2013-05-22,231.893
2013-05-23,231.893
2013-05-24,231.893
2013-05-25,231.893
2013-05-26,231.893
2013-05-27,231.893
2013-05-28,231.893
2013-05-29,231.893
2013-05-30,231.893
2013-05-31,231.893
2013-06-01,232.445
2013-06-02,232.445
2013-06-03,232.445
2013-06-04,232.445
2013-06-05,232.445
2013-06-06,232.445
2013-06-07,232.445
2013-06-08,232.445
2013-06-09,232.445
2013-06-10,232.445
2013-06-11,232.445
2013-06-12,232.445
2013-06-13,232.445
2013-06-14,232.445
2013-06-15,232.445
2013-06-16,232.445
2013-06-17,232.445
2013-06-18,232.445
2013-06-19,232.445
2013-06-20,232.445
2013-06-21,232.445
2013-06-22,232.445
2013-06-23,232.445
2013-06-24,232.445
2013-06-25,232.445
2013-06-26,232.445
2013-06-27,232.445
2013-06-28,232.445
2013-06-29,232.445
2013-06-30,232.445
2013-07-01,232.9
2013-07-02,232.9
2013-07-03,232.9
2013-07-04,232.9
2013-07-05,232.9
2013-07-06,232.9
2013-07-07,232.9
2013-07-08,232.9
2013-07-09,232.9
2013-07-10,232.9
2013-07-11,232.9
2013-07-12,232.9
2013-07-13,232.9
2013-07-14,232.9
2013-07-15,232.9
2013-07-16,232.9
2013-07-17,232.9
2013-07-18,232.9
2013-07-19,232.9
2013-07-20,232.9
2013-07-21,232.9
2013-07-22,232.9
2013-07-23,232.9
2013-07-24,232.9
2013-07-25,232.9
2013-07-26,232.9
2013-07-27,232.9
2013-07-28,232.9
2013-07-29,232.9
2013-07-30,232.9
2013-07-31,232.9
2013-08-01,233.456
2013-08-02,233.456
2013-08-03,233.456
2013-08-04,233.456
2013-08-05,233.456
2013-08-06,233.456
2013-08-07,233.456
2013-08-08,233.456
2013-08-09,233.456
2013-08-10,233.456
2013-08-11,233.456
2013-08-12,233.456
2013-08-13,233.456
2013-08-14,233.456
2013-08-15,233.456
2013-08-16,233.456
2013-08-17,233.456
2013-08-18,233.456
2013-08-19,233.456
2013-08-20,233.456
